,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
276,5961600,69.0,-8.520487660393399e-05,0.00010143466356635,-1.6229786962417002e-05,-6.0543655154155e-08,7.1846197091064e-08,-1.130254193691e-08,-16.630701972407,26.551827493143,-1.4009264143693,0.19166666666667004,50400.0,1,1100.0,530.0,0.2,17.0
280,6048000,70.0,-8.609129414176899e-05,0.00010246559889961,-1.6374304757839e-05,-6.1694954627183e-08,7.325887849058301e-08,-1.15639238634e-08,-16.629827553944,26.646626737385997,-1.3927694905288002,0.19444444444444,50400.0,1,1100.0,530.0,0.2,17.0
284,6134400,71.0,-8.6973672801004e-05,0.00010349161669141999,-1.6517943890419e-05,-6.2854696490175e-08,7.468316215746e-08,-1.1828465667285e-08,-16.628863812172,26.761007068403,-1.3796898788655,0.19722222222222,50400.0,1,1100.0,530.0,0.2,17.0
288,6220800,72.0,-8.785198047218e-05,0.00010451268508909,-1.6660704616908e-05,-6.4022869736538e-08,7.611905517883401e-08,-1.2096185442296002e-08,-16.628001213909,26.863801123074,-1.3695800822058999,0.2,50400.0,1,1100.0,530.0,0.2,17.0
292,6307200,73.0,-8.8726611592356e-05,0.00010552928711874,-1.6802675526381e-05,-6.519962378771799e-08,7.7566761482073e-08,-1.2367137694355e-08,-16.630183523208,26.988305749082,-1.3591653878018999,0.20277777777778,50400.0,1,1100.0,530.0,0.2,17.0
296,6393600,74.0,-8.9597197292978e-05,0.00010654097530401999,-1.6943778011044e-05,-6.6384793932057e-08,7.9026062187623e-08,-1.2641268255566002e-08,-16.626153547418,27.081619477094,-1.346196740443,0.20555555555556,50400.0,1,1100.0,530.0,0.2,17.0
300,6480000,75.0,-9.046436849044499e-05,0.00010754851378183001,-1.7084145291384e-05,-6.757866910557199e-08,8.049736028297e-08,-1.2918691177398e-08,-16.625123073624,27.215664511984,-1.3283802571912,0.20833333333332996,50400.0,1,1100.0,530.0,0.2,17.0
304,6566400,76.0,-9.132795512066801e-05,0.00010855170814899998,-1.722375302833e-05,-6.8781135435086e-08,8.198050108233499e-08,-1.3199365647248999e-08,-16.62412199406,27.330235404097,-1.3153298771858,0.21111111111111,50400.0,1,1100.0,530.0,0.2,17.0
308,6652800,77.0,-9.2188059022013e-05,0.00010955068587594001,-1.7362626853931e-05,-6.999223149740599e-08,8.3475541630927e-08,-1.3483310133521e-08,-16.623165877931,27.444477418633,-1.3024174488018998,0.21388888888889,50400.0,1,1100.0,530.0,0.2,17.0
312,6739200,78.0,-9.304442179068101e-05,0.00011054515026071001,-1.7500728470026002e-05,-7.121185352248699e-08,8.498238594893401e-08,-1.3770532426446999e-08,-16.625674096285,27.525591287959,-1.3027208764825,0.21666666666667003,50400.0,1,1100.0,530.0,0.2,17.0
