,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
206,4060800.0,47.0,-3.0831601532365006e-05,4.1207994365764e-05,-1.0376392833399e-05,-3.8336557841549e-08,4.5427569997853e-08,-7.091012156303901e-09,-16.647947265827998,24.515217289228,-2.0236080960976,0.13055555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
210,4147200.0,48.0,-3.132689800488e-05,4.1876103876241e-05,-1.0549205871361e-05,-3.9331280587086e-08,4.6643503314457e-08,-7.312222727371401e-09,-16.647091993454,24.61277848855,-2.0188147727549,0.13333333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
214,4233600.0,49.0,-3.1818376978717e-05,4.2539281230439e-05,-1.0720904251721e-05,-4.0332917292368e-08,4.7869147634241e-08,-7.5362303418734e-09,-16.646225713865,24.711733847917,-2.0135349235817,0.13611111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
218,4320000.0,50.0,-3.2306118174526004e-05,4.3197630453665e-05,-1.0891512279139e-05,-4.1341438276098e-08,4.9104470230008e-08,-7.763031953910001e-09,-16.64538651646,24.807598552793003,-2.0088745862489,0.13888888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
222,4406400.0,51.0,-3.279020296e-05,4.3851255562129e-05,-1.1061052602128999e-05,-4.2356839214353994e-08,5.0349468492968e-08,-7.992629278613899e-09,-16.644537803887,24.906285964604997,-2.0033926005488,0.14166666666667002,50400.0,1.0,1100.0,530.0,0.2,17.0
226,4492800.0,52.0,-3.3270709089756e-05,4.4500258216899e-05,-1.1229549127142e-05,-4.3379098404517e-08,5.160412010923901e-08,-8.2250217047211e-09,-16.643701505442,25.003346843852,-1.9981763721577002,0.14444444444444002,50400.0,1.0,1100.0,530.0,0.2,17.0
230,4579200.0,53.0,-3.3747703242817e-05,4.5144724728109996e-05,-1.1397021485292999e-05,-4.4408191696222994e-08,5.2868399431448e-08,-8.4602077352246e-09,-16.643507007302002,25.098344355618,-1.9947130244305,0.14722222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
234,4665600.0,54.0,-3.4221261445202005e-05,4.5784753273246e-05,-1.1563491828045e-05,-4.5444101703504997e-08,5.414228737206299e-08,-8.698185668557701e-09,-16.64266747451,25.192916775417,-1.9897816963644999,0.15,50400.0,1.0,1100.0,530.0,0.2,17.0
238,4752000.0,55.0,-3.4691451686005e-05,4.6420431069328005e-05,-1.1728979383323e-05,-4.648681578681099e-08,5.5425770991854e-08,-8.938955205043299e-09,-16.641801046645,25.288112263450998,-1.9846321692353999,0.15277777777777998,50400.0,1.0,1100.0,530.0,0.2,17.0
242,4838400.0,56.0,-3.5156978620305e-05,4.7049961749154e-05,-1.1892983128849e-05,-4.7532604371229e-08,5.6713826878400005e-08,-9.1812225071712e-09,-16.640979152785,25.380835846243,-1.9798403440631003,0.15555555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
246,4924800.0,57.0,-3.5619300317460996e-05,4.7675351107411e-05,-1.205605078995e-05,-4.858515515207599e-08,5.8011423193805005e-08,-9.426268041729001e-09,-16.640153770443,25.473376551789,-1.975020138845,0.15833333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
250,5011200.0,58.0,-3.607845911754e-05,4.8296656164536e-05,-1.2218197046996001e-05,-4.9644396904359004e-08,5.9318475166406e-08,-9.6740782620468e-09,-16.639331208703002,25.565744582515997,-1.9701127911493,0.16111111111110998,50400.0,1.0,1100.0,530.0,0.2,17.0
254,5097600.0,59.0,-3.6534534914996005e-05,4.8913978141908e-05,-1.2379443226912e-05,-5.0710357844745e-08,6.063501953711999e-08,-9.924661692375301e-09,-16.638382952893,25.658150848062,-1.9649778844268,0.16388888888889003,50400.0,1.0,1100.0,530.0,0.2,17.0
258,5184000.0,60.0,-3.6987571934670004e-05,4.952737469143e-05,-1.2539802756761e-05,-5.178299978508599e-08,6.1961011459927e-08,-1.0178011674841e-08,-16.637523057399,25.750341522758003,-1.9597762185685,0.16666666666667002,50400.0,1.0,1100.0,530.0,0.2,17.0
262,5270400.0,61.0,-3.7438914010068e-05,5.0138705323501e-05,-1.2699791313432001e-05,-5.2866059238183e-08,6.330152401364599e-08,-1.0435464775463e-08,-16.636737434582,25.839104967466003,-1.9554231525187,0.16944444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
266,5356800.0,62.0,-3.7887307743495e-05,5.074622787858e-05,-1.2858920135085e-05,-5.3955793108607994e-08,6.4651493898549e-08,-1.0695700789941e-08,-16.635980164270002,25.926417830039,-1.9513500718814998,0.17222222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
270,5443200.0,63.0,-3.833281616472e-05,5.1350024283563e-05,-1.3017208118843e-05,-5.5052209487245e-08,6.6010936331214e-08,-1.0958726843969e-08,-16.635202542404002,26.017492807982997,-1.9462843385273,0.175,50400.0,1.0,1100.0,530.0,0.2,17.0
274,5529600.0,64.0,-3.8775467418691996e-05,5.1950129344189e-05,-1.3174661925497e-05,-5.6155239934739995e-08,6.7379764441186e-08,-1.1224524506446e-08,-16.634494470064002,26.09811548865,-1.9436336300907,0.17777777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
278,5616000.0,65.0,-3.9215330460157004e-05,5.2546636058072e-05,-1.3331305597915e-05,-5.7264883480054006e-08,6.8757986817282e-08,-1.1493103337228998e-08,-16.633759908917,26.178736072245,-1.9408647352638,0.18055555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
282,5702400.0,66.0,-3.9652423760313e-05,5.3139561973669e-05,-1.3487138213355999e-05,-5.8381090509517e-08,7.0145533617481e-08,-1.1764443107963998e-08,-16.633115130844,26.254554128034002,-1.9388585317006002,0.18333333333332996,50400.0,1.0,1100.0,530.0,0.2,17.0
286,5788800.0,67.0,-4.0086845044619e-05,5.3729036959611e-05,-1.3642191914992e-05,-5.9503968277301e-08,7.1542553467527e-08,-1.2038585190225001e-08,-16.632261970416998,26.352611949558,-1.9319752343693,0.18611111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
290,5875200.0,68.0,-4.0518624336985e-05,5.4315101481286e-05,-1.3796477144301002e-05,-6.0633432762455e-08,7.2948943208816e-08,-1.231551044636e-08,-16.631587377578,26.435358401813,-1.9284395785391,0.18888888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
294,5961600.0,69.0,-4.0947777037104e-05,5.4897769503517e-05,-1.3949992466413e-05,-6.1769436586973e-08,7.4364636443168e-08,-1.2595199856195e-08,-16.630906363218998,26.513462811454,-1.9256760998459,0.19166666666667004,50400.0,1.0,1100.0,530.0,0.2,17.0
298,6048000.0,70.0,-4.1374400853636e-05,5.547716987251999e-05,-1.4102769018884e-05,-6.291210419646e-08,7.5789802810184e-08,-1.2877698613724e-08,-16.630052575576,26.616497055981,-1.9172841086517,0.19444444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
302,6134400.0,71.0,-4.1797184572604e-05,5.6051514583959e-05,-1.4254330011354001e-05,-6.4057163407181e-08,7.721870488802099e-08,-1.3161541480841e-08,-16.629253941896,26.715729916550004,-1.9094122623281002,0.19722222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
306,6220800.0,72.0,-4.2217788277286e-05,5.662303368048101e-05,-1.4405245403194e-05,-6.5209615935535e-08,7.8658018305546e-08,-1.3448402370012e-08,-16.628452545859002,26.813071372821003,-1.9018826357616,0.2,50400.0,1.0,1100.0,530.0,0.2,17.0
310,6307200.0,73.0,-4.2637003308171e-05,5.719284980060601e-05,-1.4555846492435e-05,-6.637202380759701e-08,8.0111276827322e-08,-1.3739253019725001e-08,-16.62769248346,26.901750636306,-1.8963055971848,0.20277777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
314,6393600.0,74.0,-4.3053813166881e-05,5.7759559998495e-05,-1.4705746831614001e-05,-6.754090011514e-08,8.1573771944767e-08,-1.4032871829626e-08,-16.627069661529,26.974159178014997,-1.8943674557623003,0.20555555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
318,6480000.0,75.0,-4.3468276838019e-05,5.832323832711e-05,-1.4854961489091e-05,-6.871633525974e-08,8.3045622493214e-08,-1.4329287233473999e-08,-16.626711634908,27.066537798105003,-1.8888711850442998,0.20833333333332996,50400.0,1.0,1100.0,530.0,0.2,17.0
322,6566400.0,76.0,-4.3880420889911e-05,5.8883919962731006e-05,-1.5003499072820002e-05,-6.989826066797901e-08,8.4526743642827e-08,-1.4628482974847999e-08,-16.625941715962,27.146947504525,-1.8853069502282,0.21111111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
326,6652800.0,77.0,-4.4290284200322995e-05,5.9441653694619995e-05,-1.5151369494297e-05,-7.108668318750299e-08,8.6017145700228e-08,-1.4930462512724998e-08,-16.625216091288,27.23100753941,-1.8806043998253,0.21388888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
