time,damage,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years
41716800,4.6703166041253,482.83333333333,-0.00064959487756229,0.00077028280602226,-0.00012068792845997,-5.1995768091547e-06,7.9279759892909e-06,-2.7283991801362e-06,-16.540614384316,35.988169231192,-3.9187777548331,1.3412037037037
42580800,4.6703183865296,492.83333333333,-0.00066048355137319,0.00078335914042949,-0.00012287558905629,-5.4282500126037e-06,8.3111986976604e-06,-2.8829486850567e-06,-16.545127155279,36.580077459691,-3.9742719211323,1.3689814814815
43444800,4.6703201836709,502.83333333333,-0.00067131170702517,0.00079636402184037,-0.0001250523148152,-5.6659347748107e-06,8.7106873420949e-06,-3.0447525672842e-06,-16.549231424893,37.163206832595,-4.0304789876452,1.3967592592593
44308800,4.670321995233,512.83333333333,-0.00068208213130246,0.00080930129543177,-0.00012721916412931,-5.9127349916789e-06,9.1266717989799e-06,-3.2139368073011e-06,-16.552974209126,37.738250994448,-4.0872173927315,1.424537037037
45172800,4.670323820906,522.83333333333,-0.00069279721547101,0.00082217421733456,-0.00012937700186355,-6.168757505556e-06,9.5593861746245e-06,-3.3906286690685e-06,-16.556396085266,38.305802772659,-4.1443325851559,1.4523148148148
46036800,4.670325660385,532.83333333333,-0.00070345903970442,0.00083498557866053,-0.00013152653895611,-6.4341115521484e-06,1.0009067928832e-05,-3.5749563766831e-06,-16.55953232269,38.866372207025,-4.2016920601774,1.4800925925926
46900800,4.670327513369,542.83333333333,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,-16.562413980517,39.420400621146,-4.2591815202926,1.5078703703704
46908000,4.6703293795599,542.91666666667,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,-10.901463128802,58.954492712042,26.733091873096,1.5081018518519
46915200,4.7853974717558,543,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,-5.3501081963603,63.268311269216,35.127222733517,1.5083333333333
46922400,5.1613207606561,543.08333333333,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,-0.7661932961049,35.967108351841,14.753728722242,1.5085648148148
47012400,5.4035236666199,544.125,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,0.28185440507381,34.725357221749,14.448757326665,1.5114583333333
47016000,5.4037160277695,544.16666666667,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,-5.2846921828502,49.503792762212,28.686652250069,1.5115740740741
47019600,5.4477947050833,544.20833333333,-0.0007140694361136,0.00084773779929539,-0.00013366836318179,-6.7089082923447e-06,1.047595712663e-05,-3.7670488342855e-06,-10.814605946816,43.211445104651,20.869214851611,1.5116898148148
47023200,5.4477693205785,544.25,-0.00071409710268408,0.00084777122172878,-0.0001336741190447,-6.7095599501355e-06,1.0477087755116e-05,-3.7675278049804e-06,-16.406238532138,26.469859020356,-7.5078537236402,1.5118055555556
47887200,5.4477076932581,554.25,-0.00071995738353477,0.000854917567299,-0.00013496018376424,-6.864904387165e-06,1.0747986766307e-05,-3.8830823791425e-06,-16.3607835229,26.386962859719,-7.7952509858497,1.5395833333333
48751200,5.4477101751579,564.25,-0.00073107474546585,0.00086841706463237,-0.00013734231916652,-7.0496409553871e-06,1.1069471373791e-05,-4.0198304184039e-06,-16.4142275138,28.446445041394,-7.2113192023981,1.5673611111111
49615200,5.4477133163117,574.25,-0.00074232034971855,0.00088205684150931,-0.00013973649179076,-7.2448385005461e-06,1.1410069454091e-05,-4.1652309535444e-06,-16.432788907845,29.111362101916,-7.2453676928434,1.5951388888889
50479200,5.4477150351968,584.25,-0.00075344384728275,0.0008955281535536,-0.00014208430627085,-7.4494418480758e-06,1.1768035197789e-05,-4.3185933497136e-06,-16.447402394163,29.687886633977,-7.3027694115121,1.6229166666667
51343200,5.4477167291732,594.25,-0.00076445540742299,0.00090884759061852,-0.00014439218319554,-7.6633222870819e-06,1.2143211087574e-05,-4.4798888004919e-06,-16.460423766297,30.239196205373,-7.3657841968676,1.6506944444444
52207200,5.4477184371118,604.25,-0.00077537195152602,0.00092203958393125,-0.00014666763240523,-7.8864271705169e-06,1.2535567930385e-05,-4.6491407598677e-06,-16.472194810756,30.771624997177,-7.4326360052102,1.6784722222222
53071200,5.4477201596596,614.25,-0.00078620675243507,0.00093512334754617,-0.0001489165951111,-8.118728182306e-06,1.2945116348805e-05,-4.8263881664992e-06,-16.482896222569,31.287879775659,-7.5025661964434,1.70625
53935200,5.4477218961945,624.25,-0.00079697000279728,0.00094811371999644,-0.00015114371719916,-8.3602146873928e-06,1.3371895658819e-05,-5.0116809714259e-06,-16.492671458817,31.790011366934,-7.5750009656776,1.7340277777778
54799200,5.4477236461181,634.25,-0.0008076696195947,0.00096102228040493,-0.00015335266081023,-8.6108904498894e-06,1.3815968467527e-05,-5.2050780176371e-06,-16.50163962794,32.279685623421,-7.6494745682539,1.7618055555556
55663200,5.4477254088943,644.25,-0.00081831183196497,0.0009738581686268,-0.00015554633666183,-8.870771128211e-06,1.4277416553587e-05,-5.4066454253763e-06,-16.50990108574,32.758275344689,-7.7256038380477,1.7895833333333
56527200,5.4477271840404,654.25,-0.00082890160108669,0.00098662867576683,-0.00015772707468014,-9.1398822449132e-06,1.4756337521906e-05,-5.6164552769932e-06,-16.517540865276,33.226922042401,-7.8030705036968,1.8173611111111
57391200,5.4477289711169,664.25,-0.00083944292609151,0.00099933967770536,-0.00015989675161384,-9.4182575314794e-06,1.5252842070571e-05,-5.8345845390917e-06,-16.524631598448,33.686582849225,-7.8816079383399,1.8451388888889
58255200,5.44773076972,674.25,-0.00084993907078872,0.0010119959583748,-0.00016205688758606,-9.7059375648469e-06,1.5767051736633e-05,-6.0611141717862e-06,-16.531235311284,34.138066530418,-7.9609909530656,1.8729166666667
59119200,5.4477325794768,684.25,-0.00086039272957327,0.0010246014493148,-0.00016420871974153,-1.0002968639343e-05,1.6299097023206e-05,-6.296128383863e-06,-16.537405883234,34.582061126251,-8.0410279813463,1.9006944444444
59983200,5.447734400038,694.25,-0.00087080615593568,0.0010371594155928,-0.00016635325965711,-1.0309401829237e-05,1.6849115844164e-05,-6.539714014927e-06,-16.543189732411,35.019156267394,-8.1215549234703,1.9284722222222
60847200,5.4477362310741,704.25,-0.00088118125747541,0.0010496725949259,-0.00016849133745049,-1.0625292201977e-05,1.7417252210276e-05,-6.7919600082991e-06,-16.548627434408,35.449860207464,-8.2024299673354,1.95625
61711200,5.4477380722728,714.25,-0.00089151966885919,0.001062143305723,-0.00017062363686378,-1.0950698156764e-05,1.8003655124909e-05,-7.0529569681449e-06,-16.553754471094,35.874613753589,-8.2835300587893,1.9840277777778
62575200,5.4477399233357,724.25,-0.00090182280829328,0.0010745735311817,-0.0001727507228884,-1.1285680865759e-05,1.8608477646705e-05,-7.3227967809455e-06,-16.558602047525,36.293801400244,-8.3647475764696,2.0118055555556
62582400,5.4477417839753,724.33333333333,-0.00090182280829328,0.0010745735311817,-0.0001727507228884,-1.1285680865759e-05,1.8608477646705e-05,-7.3227967809455e-06,-10.940227129489,52.4383840456,22.150454920724,2.012037037037
62589600,5.53289462704,724.41666666667,-0.00090182280829328,0.0010745735311817,-0.0001727507228884,-1.1285680865759e-05,1.8608477646705e-05,-7.3227967809455e-06,-5.4623330037396,56.634002664527,29.526979760573,2.0122685185185
62596800,5.832005848803,724.5,-0.00090182280829328,0.0010745735311817,-0.0001727507228884,-1.1285680865759e-05,1.8608477646705e-05,-7.3227967809455e-06,-0.25956983580014,34.701671608921,12.81516208471,2.0125
62686800,6.0251207800395,725.54166666667,-0.00090182280829328,0.0010745735311817,-0.0001727507228884,-1.1285680865759e-05,1.8608477646705e-05,-7.3227967809455e-06,0.2966206681814,33.365026773636,12.434796951479,2.0153935185185
