time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years
54799200,634.25,-0.00062884468161219,0.00074987296736343,-0.00012102828575124,-1.0545717005434e-05,1.5489389781248e-05,-4.9436727758138e-06,-15.945888194934,108.32045312878,7.2788347235749,1.7618055555556
55663200,644.25,-0.00063647302709109,0.00075910648985423,-0.00012263346276314,-1.0971719373506e-05,1.6140963453984e-05,-5.1692440804776e-06,-15.936628532308,109.41703634889,7.3788522028788,1.7895833333333
56527200,654.25,-0.0006440574263223,0.00076828799312887,-0.00012423056680657,-1.1408781170498e-05,1.6810265430023e-05,-5.4014842595249e-06,-15.927434601744,110.50562973275,7.4786505638508,1.8173611111111
57391200,664.25,-0.00065159915495738,0.00077741903197258,-0.0001258198770152,-1.1857010021943e-05,1.7497479075483e-05,-5.6404690535395e-06,-15.91830582094,111.58629284244,7.578246618055,1.8451388888889
58255200,674.25,-0.000659099314632,0.00078650093623502,-0.00012740162160302,-1.2316511602677e-05,1.8202784274706e-05,-5.886272672029e-06,-15.909241737605,112.65908224241,7.6776556853925,1.8729166666667
59119200,684.25,-0.0006665588695361,0.00079553485886935,-0.00012897598933325,-1.2787389611233e-05,1.8926357385722e-05,-6.138967774489e-06,-15.900241885431,113.72405211618,7.7768917936059,1.9006944444444
59983200,694.25,-0.00067397867447022,0.00080452181278141,-0.0001305431383112,-1.3269745745871e-05,1.9668371196765e-05,-6.3986254508936e-06,-15.891305768759,114.78125449376,7.8759680302326,1.9284722222222
60847200,704.25,-0.00068135949743308,0.00081346270040752,-0.00013210320297445,-1.3763679689842e-05,2.0428994897575e-05,-6.6653152077325e-06,-15.882433020346,115.83073996868,7.9748965607531,1.95625
61711200,714.25,-0.00068870203626228,0.00082235833559266,-0.00013365629933038,-1.4269289090956e-05,2.1208394042483e-05,-6.9391049515275e-06,-15.873623146046,116.87255744547,8.0736888147669,1.9840277777778
62575200,724.25,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,-15.864875831965,117.90675470788,8.1723556013701,2.0118055555556
62582400,724.33333333333,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,-9.8530503960834,170.69119899146,67.958069457615,2.012037037037
62589600,724.41666666667,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,-4.1642459996623,187.19300990889,91.748226450852,2.0122685185185
62596800,724.5,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,0.99704139983992,135.76820402754,48.166919124882,2.0125
