,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
1115,24055200,278.41666666667,-0.0002370179013272,0.000277741075418,-4.0723174090734e-05,-5.4124554415735e-07,7.105297717184e-07,-1.6928422756105e-07,-16.456040923571,47.607100051348,0.68362645181233,0.77337962962963,50400.0,1,1100.0,530.0,0.2,17.0
1119,24141600,279.41666666667,-0.0002376717992573,0.0002785050844816,-4.0833285224294e-05,-5.4497955623651e-07,7.1569482041469e-07,-1.7071526417818e-07,-16.455246022469,47.701671292766,0.69263390883496,0.77615740740741,50400.0,1,1100.0,530.0,0.2,17.0
1123,24228000,280.41666666667,-0.0002383252799601,0.0002792686527202,-4.0943372760026e-05,-5.4872997164333e-07,7.2088446387566e-07,-1.7215449223234e-07,-16.45605911414,47.787745654581,0.69785608273378,0.77893518518519,50400.0,1,1100.0,530.0,0.2,17.0
1127,24314400,281.41666666667,-0.0002389784650541,0.0002800319221602,-4.105345710605e-05,-5.5249698768365e-07,7.2609897876918e-07,-1.7360199108554e-07,-16.453671247387,47.890671387765,0.7106278121283,0.78171296296296,50400.0,1,1100.0,530.0,0.2,17.0
1131,24400800,282.41666666667,-0.0002396312959729,0.0002807948240539,-4.1163528080936e-05,-5.5628056938553e-07,7.3133833128125e-07,-1.7505776189572e-07,-16.452880971409,47.985119031017,0.7196222665704,0.78449074074074,50400.0,1,1100.0,530.0,0.2,17.0
1135,24487200,283.41666666667,-0.0002402837719315,0.0002815573573739,-4.1273585442403e-05,-5.6008075498505e-07,7.3660258503454e-07,-1.7652183004949e-07,-16.452048891538,48.079372450937,0.72859754338232,0.78726851851852,50400.0,1,1100.0,530.0,0.2,17.0
1139,24573600,284.41666666667,-0.0002409358961284,0.0002823195256101,-4.1383629481703e-05,-5.6389758953677e-07,7.4189181343773e-07,-1.7799422390096e-07,-16.451271586825,48.173747541743,0.73757913734604,0.7900462962963,50400.0,1,1100.0,530.0,0.2,17.0
1143,24660000,285.41666666667,-0.0002415876098042,0.0002830812598582,-4.1493650053941e-05,-5.6773103528912e-07,7.4720597874153e-07,-1.794749434524e-07,-16.452095840145,48.259611491412,0.74277099815551,0.79282407407407,50400.0,1,1100.0,530.0,0.2,17.0
1147,24746400,286.41666666667,-0.0002422389728428,0.0002838426300157,-4.1603657172992e-05,-5.7158121023271e-07,7.5254525152198e-07,-1.8096404128927e-07,-16.451245605252,48.353817063805,0.75177712199833,0.79560185185185,50400.0,1,1100.0,530.0,0.2,17.0
1151,24832800,287.41666666667,-0.0002428899911129,0.0002846036426709,-4.1713651558072e-05,-5.7544816206416e-07,7.5790970849705e-07,-1.8246154643288e-07,-16.450564705055,48.448280429446,0.76076012183751,0.79837962962963,50400.0,1,1100.0,530.0,0.2,17.0
1155,24919200,288.41666666667,-0.0002435406612141,0.0002853642937429,-4.182363252875e-05,-5.7933192647332e-07,7.632994103979e-07,-1.8396748392458e-07,-16.449788055584,48.542295540476,0.76965587344936,0.80115740740741,50400.0,1,1100.0,530.0,0.2,17.0
1159,25005600,289.41666666667,-0.0002441909883884,0.000286124589043,-4.1933600654662e-05,-5.8323255062384e-07,7.6871443286544e-07,-1.854818822416e-07,-16.44904556031,48.636702086639,0.77870354194961,0.80393518518519,50400.0,1,1100.0,530.0,0.2,17.0
1163,25092000,290.41666666667,-0.0002448409684961,0.0002868845237205,-4.2043555224376e-05,-5.8715006875144e-07,7.7415483482521e-07,-1.8700476607377e-07,-16.44822544846,48.730541720625,0.78758329314502,0.80671296296296,50400.0,1,1100.0,530.0,0.2,17.0
1167,25178400,291.41666666667,-0.0002454906012642,0.0002876440971643,-4.215349590012e-05,-5.9108452201857e-07,7.7962068439241e-07,-1.8853616237384e-07,-16.447310911894,48.824273432618,0.79652600873923,0.80949074074074,50400.0,1,1100.0,530.0,0.2,17.0
1171,25264800,292.41666666667,-0.000246139894392,0.000288403318128,-4.2263423736026e-05,-5.9503596059467e-07,7.8511206142653e-07,-1.9007610083187e-07,-16.446586661107,48.918523331661,0.80552699029123,0.81226851851852,50400.0,1,1100.0,530.0,0.2,17.0
1175,25351200,293.41666666667,-0.0002467888427395,0.0002891621812512,-4.2373338511695e-05,-5.9900440383858e-07,7.9062900012265e-07,-1.9162459628407e-07,-16.445731523022,49.01226018112,0.81444281233584,0.8150462962963,50400.0,1,1100.0,530.0,0.2,17.0
1179,25437600,294.41666666667,-0.0002474374538004,0.0002899206935602,-4.2483239759812e-05,-6.0298992967985e-07,7.9617162695471e-07,-1.9318169727486e-07,-16.445003941813,49.106348738297,0.82339921661152,0.81782407407407,50400.0,1,1100.0,530.0,0.2,17.0
1183,25524000,295.41666666667,-0.0002480857839819,0.0002906789216111,-4.2593137629166e-05,-6.0699264186637e-07,8.0174008933544e-07,-1.9474744746907e-07,-16.442569544612,49.208540050203,0.83610487473209,0.82060185185185,50400.0,1,1100.0,530.0,0.2,17.0
1187,25610400,296.41666666667,-0.0002487337764145,0.0002914367986121,-4.2703022197624e-05,-6.1101250476212e-07,8.0733435225216e-07,-1.9632184749004e-07,-16.441793471994,49.302422477301,0.84505120620144,0.82337962962963,50400.0,1,1100.0,530.0,0.2,17.0
1191,25696800,297.41666666667,-0.0002493813692324,0.000292194252044,-4.2812882811611e-05,-6.1504947382672e-07,8.1295436879903e-07,-1.9790489497231e-07,-16.442578734292,49.387496911275,0.85013174701237,0.82615740740741,50400.0,1,1100.0,530.0,0.2,17.0
1195,25783200,298.41666666667,-0.0002500286872402,0.0002929514277294,-4.2922740489218e-05,-6.191037597832e-07,8.1860043434931e-07,-1.9949667456611e-07,-16.440213613951,49.489895895248,0.8628982097988,0.82893518518519,50400.0,1,1100.0,530.0,0.2,17.0
1199,25869600,299.41666666667,-0.0002506756078158,0.0002937081819625,-4.303257414673e-05,-6.2317523634007e-07,8.2427239281328e-07,-2.010971564732e-07,-16.440980052892,49.574878056506,0.8679734363129,0.83171296296296,50400.0,1,1100.0,530.0,0.2,17.0
1203,25956000,300.41666666667,-0.0002513221942026,0.000294464588574,-4.3142394371409e-05,-6.2726402889929e-07,8.2997042468788e-07,-2.0270639578859e-07,-16.440203422303,49.668532820273,0.87690449863469,0.83449074074074,50400.0,1,1100.0,530.0,0.2,17.0
1207,26042400,301.41666666667,-0.00025196850907,0.0002952207206794,-4.3252211609408e-05,-6.3137026572627e-07,8.3569471526974e-07,-2.0432444954347e-07,-16.437841177389,49.770816962984,0.88965665524884,0.83726851851852,50400.0,1,1100.0,530.0,0.2,17.0
1211,26128800,302.41666666667,-0.0002526144918936,0.0002959765072318,-4.3362015338185e-05,-6.3549390439569e-07,8.414452203859e-07,-2.0595131599021e-07,-16.437061967894,49.864394164952,0.89856839459263,0.8400462962963,50400.0,1,1100.0,530.0,0.2,17.0
1215,26215200,303.41666666667,-0.0002532600830034,0.000296731878263,-4.347179525963e-05,-6.3963490149575e-07,8.4722189431471e-07,-2.0758699281896e-07,-16.437857796365,49.949419258998,0.90370152438813,0.84282407407407,50400.0,1,1100.0,530.0,0.2,17.0
1219,26301600,304.41666666667,-0.0002539054029326,0.0002974869746928,-4.358157176015e-05,-6.4379346554111e-07,8.5302503015426e-07,-2.0923156461316e-07,-16.435480223999,50.051335498865,0.91636716492014,0.84560185185185,50400.0,1,1100.0,530.0,0.2,17.0
1223,26388000,305.41666666667,-0.000254550393458,0.0002982417280539,-4.3691334595949e-05,-6.4796955778833e-07,8.5885458895727e-07,-2.1088503116894e-07,-16.434687415646,50.144781025788,0.92527335693288,0.84837962962963,50400.0,1,1100.0,530.0,0.2,17.0
1227,26474400,306.41666666667,-0.0002551949967002,0.0002989960704036,-4.3801073703399e-05,-6.521631370275e-07,8.6471052801518e-07,-2.1254739098769e-07,-16.435591677532,50.229738436152,0.93033587370844,0.85115740740741,50400.0,1,1100.0,530.0,0.2,17.0
1231,26560800,307.41666666667,-0.0002558392741607,0.0002997500736593,-4.3910799498661e-05,-6.5637432826539e-07,8.7059302781122e-07,-2.1421869954584e-07,-16.434851236124,50.323275096151,0.93926434501953,0.85393518518519,50400.0,1,1100.0,530.0,0.2,17.0
1235,26647200,308.41666666667,-0.0002564832243913,0.000300503735898,-4.4020511506712e-05,-6.6060317084855e-07,8.7650215431677e-07,-2.1589898346823e-07,-16.434078424778,50.416500950603,0.94811472572435,0.85671296296296,50400.0,1,1100.0,530.0,0.2,17.0
1239,26733600,309.41666666667,-0.0002571268504066,0.0003012570604236,-4.4130210017005e-05,-6.6484970962686e-07,8.8243798035815e-07,-2.1758827073129e-07,-16.433228303553,50.510023385979,0.95715355838253,0.85949074074074,50400.0,1,1100.0,530.0,0.2,17.0
1243,26820000,310.41666666667,-0.0002577701481069,0.0003020100423377,-4.4239894230791e-05,-6.6911397944231e-07,8.884005660706e-07,-2.1928658662828e-07,-16.43245118212,50.602822878926,0.96586877820321,0.86226851851852,50400.0,1,1100.0,530.0,0.2,17.0
1247,26906400,311.41666666667,-0.0002584131802507,0.0003027627548964,-4.434957464567e-05,-6.7339611101057e-07,8.9439009987905e-07,-2.2099398886848e-07,-16.429983858254,50.704430467605,0.97857318529565,0.8650462962963,50400.0,1,1100.0,530.0,0.2,17.0
1251,26992800,312.41666666667,-0.0002590558296751,0.0003035150606109,-4.4459230935832e-05,-6.776959791183e-07,9.0040642632445e-07,-2.2271044720615e-07,-16.430825572298,50.789061132111,0.98363578279652,0.86782407407407,50400.0,1,1100.0,530.0,0.2,17.0
