time,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,nl_its,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz
588000,-1.0698071588268e-05,1.3140132664728e-05,-2.44206107646e-06,2,-3.5056324449752e-09,3.9739617706502e-09,-4.6832932567506e-10,-16.696383696953,19.112177962685,-2.2598044859572
604800,-1.125950369776e-05,1.382334229377e-05,-2.5638385960096e-06,2,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-16.69603952405,19.153127548666,-2.2548106675962
606000,-1.1262756698659e-05,1.38285188762e-05,-2.5657621775404e-06,3,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-14.440076856776,13.075548229971,-5.5205499878509
607200,-1.1262850456794e-05,1.3828926131765e-05,-2.5660756749713e-06,3,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-12.182352446615,7.1384461777766,-8.6453439881687
608400,-1.1262763176447e-05,1.3829007408329e-05,-2.5662442318822e-06,3,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-9.9234980330825,1.3408756001927,-11.630438024164
618000,-1.1262065083114e-05,1.382965767943e-05,-2.5675925963167e-06,1,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-9.9231652329231,1.3424375903409,-11.629534918951
627600,-1.1261367076795e-05,1.3830308025855e-05,-2.5689409490602e-06,1,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-9.9231573524028,1.3433419102279,-11.629291237368
637200,-1.126066915743e-05,1.3830958447523e-05,-2.5702892900931e-06,1,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-9.9231497862836,1.344245094401,-11.629048194088
638400,-1.1260763074011e-05,1.3831366046096e-05,-2.570602972085e-06,3,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-12.181496974413,7.1431399018395,-8.6428890607697
639600,-1.1264019149791e-05,1.3836546837006e-05,-2.5725276872147e-06,3,-3.7115354133615e-09,4.2083851441557e-09,-4.9684973079421e-10,-14.439013218976,13.081451941277,-5.5176395580489
640800,-1.1304123185524e-05,1.3885345460893e-05,-2.5812222753692e-06,3,-3.7262522293203e-09,4.2251413329561e-09,-4.9888910363581e-10,-16.695368234178,19.161700536105,-2.2523796038332
657600,-1.1861126109394e-05,1.4562730681841e-05,-2.7016045724465e-06,2,-3.9329444082842e-09,4.4605814962669e-09,-5.276370879827e-10,-16.695634532806,19.201326939324,-2.2486219955986
674400,-1.2413801772311e-05,1.5234476030413e-05,-2.820674258102e-06,2,-4.1403043495825e-09,4.6968847698061e-09,-5.5658042022353e-10,-16.695292104568,19.24205524873,-2.2436666090626
691200,-1.2962233509411e-05,1.5900693470955e-05,-2.9384599615432e-06,2,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-16.694950724864,19.28267251344,-2.2387314650556
692400,-1.2965372115407e-05,1.5905683767185e-05,-2.9403116517776e-06,3,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-14.4389876999,13.205106908561,-5.5044541654057
693600,-1.296545969849e-05,1.5906070382955e-05,-2.940610684465e-06,3,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-12.181262947093,7.2680208709129,-8.6292317655168
694800,-1.2965373069371e-05,1.5906148153335e-05,-2.9407750839636e-06,3,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-9.9224081981605,1.4704657086549,-11.614309875663
704400,-1.2964680185196e-05,1.5906770374733e-05,-2.9420901895367e-06,1,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-9.9220752809995,1.4720349453855,-11.613405033368
714000,-1.296398738748e-05,1.5907392670803e-05,-2.9434052833231e-06,1,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-9.9220673364922,1.4729470320882,-11.613159083292
723600,-1.2963294676128e-05,1.5908015041298e-05,-2.9447203651696e-06,1,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-9.9220597201125,1.4738567057253,-11.612914097669
724800,-1.2963382410355e-05,1.5908401987005e-05,-2.9450195766506e-06,3,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-12.180410858839,7.2727091380449,-8.6267761681883
726000,-1.2966524041807e-05,1.5913396436607e-05,-2.9468723947991e-06,3,-4.3483316938688e-09,4.9340509997081e-09,-5.8571930583935e-10,-14.437931399167,13.211018966653,-5.5015384560818
727200,-1.3005701140814e-05,1.5960983610589e-05,-2.955282469775e-06,3,-4.3632003830516e-09,4.9510032698167e-09,-5.8780288676507e-10,-16.694291523289,19.291285649499,-2.2362843140612
744000,-1.3549974950463e-05,1.6621742369732e-05,-3.0717674192693e-06,2,-4.5720171963294e-09,5.1891876161305e-09,-6.1717041980113e-10,-16.694548200767,19.330550946555,-2.2325907954846
760800,-1.4090165491888e-05,1.727718923295e-05,-3.1870237410623e-06,2,-4.781501115685e-09,5.4282351767152e-09,-6.4673406103015e-10,-16.694208433045,19.370957507718,-2.2276927608653
777600,-1.4626349373352e-05,1.7927426927701e-05,-3.3010775543486e-06,2,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-16.693869672939,19.411258045187,-2.2228142307444
778800,-1.4629381407586e-05,1.7932243857344e-05,-3.3028624497577e-06,3,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-14.437881427459,13.333927819514,-5.4884652948128
780000,-1.4629463375355e-05,1.7932611546081e-05,-3.303148170726e-06,3,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-12.180156312817,7.3970281241435,-8.6131876399589
781200,-1.4629377343387e-05,1.7932686092676e-05,-3.3033087492884e-06,3,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-9.9213019923704,1.5996710676576,-11.598208066606
